,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,spatially_variable
gene_0,0.6281720756804591,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00021382874789649511,0.0,0.0,0.03694399290675336,1
gene_1,0.9191997619433282,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00032027481518219475,0.0,0.0,0.03694399290675336,1
gene_2,0.7610349339284439,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00033178783959323185,0.0,0.0,0.03694399290675336,1
gene_3,0.6898503519303663,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002672278090879401,0.0,0.0,0.03694399290675336,1
gene_4,0.8949630980048341,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003122726696487121,0.0,0.0,0.03694399290675336,1
gene_5,0.808714083022501,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00027198198050377623,0.0,0.0,0.03694399290675336,1
gene_6,0.7309379952940439,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00028716918487066857,0.0,0.0,0.03694399290675336,1
gene_7,0.9315895584486032,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00037064398814954096,0.0,0.0,0.03694399290675336,1
gene_8,0.5362243890063458,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00014082859076078042,0.0,0.0,0.03694399290675336,1
gene_9,0.9068401295062724,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003046254741720969,0.0,0.0,0.03694399290675336,1
gene_10,0.5132293990969143,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0001871464896402781,0.0,0.0,0.03694399290675336,1
gene_11,0.8687725816801108,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0004970928736848436,0.0,0.0,0.03694399290675336,1
gene_12,0.8796841007933471,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003740599641836077,0.0,0.0,0.03694399290675336,1
gene_13,0.5986408539097229,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00022347644739283948,0.0,0.0,0.03694399290675336,1
gene_14,0.7775090207923759,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00023783058984880166,0.0,0.0,0.03694399290675336,1
gene_15,0.8173363184167073,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003178706882314481,0.0,0.0,0.03694399290675336,1
gene_16,0.7923260983653766,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.000336456362698221,0.0,0.0,0.03694399290675336,1
gene_17,0.7943066759945115,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002974913925568571,0.0,0.0,0.03694399290675336,1
gene_18,0.9090630230920735,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00030368067801434526,0.0,0.0,0.03694399290675336,1
gene_19,0.9312581092840146,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00033267563231628873,0.0,0.0,0.03694399290675336,1
gene_20,0.8500112959026221,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003905027188833111,0.0,0.0,0.03694399290675336,1
gene_21,0.5894989471121133,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00022174784803484686,0.0,0.0,0.03694399290675336,1
gene_22,0.8931293037352673,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00032372382384407124,0.0,0.0,0.03694399290675336,1
gene_23,0.828578816249585,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003653004015857034,0.0,0.0,0.03694399290675336,1
gene_24,0.881682200979298,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003539384053320782,0.0,0.0,0.03694399290675336,1
gene_25,0.919675589017838,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003717961722207323,0.0,0.0,0.03694399290675336,1
gene_26,0.8058849475493892,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003007826041489549,0.0,0.0,0.03694399290675336,1
gene_27,0.9296452296623091,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00036208477300687285,0.0,0.0,0.03694399290675336,1
gene_28,0.8614841381501396,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00031564567228715875,0.0,0.0,0.03694399290675336,1
gene_29,0.7755222657904892,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00025037913389327283,0.0,0.0,0.03694399290675336,1
gene_30,0.7728910239259507,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00028293147667829264,0.0,0.0,0.03694399290675336,1
gene_31,0.7801483080644378,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002370047963651515,0.0,0.0,0.03694399290675336,1
gene_32,0.8164210720084557,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00034736968584318865,0.0,0.0,0.03694399290675336,1
gene_33,0.9438455747829514,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00040775497893998027,0.0,0.0,0.03694399290675336,1
gene_34,0.704542031445242,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002806600931973293,0.0,0.0,0.03694399290675336,1
gene_35,0.9392420862614704,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00033983398912268697,0.0,0.0,0.03694399290675336,1
gene_36,0.8457158691531483,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003750479321454921,0.0,0.0,0.03694399290675336,1
gene_37,0.4923227604207123,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0001945066484520909,0.0,0.0,0.03694399290675336,1
gene_38,0.9399429971735895,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00043383166387745195,0.0,0.0,0.03694399290675336,1
gene_39,0.5310293875976355,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00018488238052531938,0.0,0.0,0.03694399290675336,1
gene_40,0.7429431533750583,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0002547513313222171,0.0,0.0,0.03694399290675336,1
gene_41,0.5425630593343331,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0001940783249916782,0.0,0.0,0.03694399290675336,1
gene_42,0.7232780769399125,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00025072578878859806,0.0,0.0,0.03694399290675336,1
gene_43,0.8863805770236765,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00034735610007090143,0.0,0.0,0.03694399290675336,1
gene_44,0.48888647850566785,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00015751522181460358,0.0,0.0,0.03694399290675336,1
gene_45,0.4960048946940689,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00012736441874186647,0.0,0.0,0.03694399290675336,1
gene_46,0.8708128800044376,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.00036064090423371825,0.0,0.0,0.03694399290675336,1
gene_47,0.8971482263575042,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0003622660808227853,0.0,0.0,0.03694399290675336,1
gene_48,0.8985015899916415,0.0,0.0001401813840498191,0.0,0.009900990099009901,0.0004384782572659914,0.0,0.0,0.03694399290675336,1
