,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
noise0.1,"[8998, 1000, 0, 2]","[8999, 1000, 0, 1]","[8999, 1000, 0, 1]","[8999, 1000, 0, 1]","[8998, 1000, 0, 2]","[8999, 1000, 0, 1]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[8998, 1000, 0, 2]","[8998, 1000, 0, 2]"
noise0.2,"[8996, 1000, 0, 4]","[8993, 1000, 0, 7]","[8998, 1000, 0, 2]","[8993, 1000, 0, 7]","[8993, 1000, 0, 7]","[8995, 1000, 0, 5]","[8995, 1000, 0, 5]","[8997, 1000, 0, 3]","[8998, 1000, 0, 2]","[8997, 1000, 0, 3]"
noise0.3,"[9000, 995, 5, 0]","[8995, 995, 5, 5]","[8998, 992, 8, 2]","[8997, 996, 4, 3]","[8997, 997, 3, 3]","[8997, 995, 5, 3]","[8996, 997, 3, 4]","[8997, 994, 6, 3]","[8995, 987, 13, 5]","[8997, 995, 5, 3]"
noise0.4,"[8999, 744, 256, 1]","[8995, 739, 261, 5]","[8999, 748, 252, 1]","[8994, 752, 248, 6]","[8995, 767, 233, 5]","[8997, 758, 242, 3]","[8998, 750, 250, 2]","[8997, 752, 248, 3]","[8998, 743, 257, 2]","[8998, 733, 267, 2]"
noise0.5,"[9000, 216, 784, 0]","[8999, 232, 768, 1]","[9000, 226, 774, 0]","[9000, 221, 779, 0]","[9000, 221, 779, 0]","[9000, 227, 773, 0]","[8998, 236, 764, 2]","[9000, 243, 757, 0]","[8999, 233, 767, 1]","[8999, 203, 797, 1]"
noise0.6,"[9000, 35, 965, 0]","[9000, 8, 992, 0]","[9000, 24, 976, 0]","[9000, 36, 964, 0]","[9000, 22, 978, 0]","[9000, 21, 979, 0]","[9000, 13, 987, 0]","[9000, 32, 968, 0]","[9000, 20, 980, 0]","[9000, 58, 942, 0]"
