,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
noise0.1,"[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]"
noise0.2,"[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]","[9000, 1000, 0, 0]"
noise0.3,"[8769, 1000, 0, 231]","[8748, 1000, 0, 252]","[8827, 1000, 0, 173]","[8783, 1000, 0, 217]","[8820, 1000, 0, 180]","[8856, 1000, 0, 144]","[8782, 1000, 0, 218]","[8815, 1000, 0, 185]","[8802, 1000, 0, 198]","[8791, 1000, 0, 209]"
noise0.4,"[8768, 1000, 0, 232]","[8739, 1000, 0, 261]","[8779, 1000, 0, 221]","[8716, 1000, 0, 284]","[8820, 1000, 0, 180]","[8845, 1000, 0, 155]","[8785, 1000, 0, 215]","[8793, 1000, 0, 207]","[8777, 1000, 0, 223]","[8776, 1000, 0, 224]"
noise0.5,"[8774, 1000, 0, 226]","[8765, 999, 1, 235]","[8799, 999, 1, 201]","[8751, 999, 1, 249]","[8821, 1000, 0, 179]","[8854, 1000, 0, 146]","[8799, 998, 2, 201]","[8823, 1000, 0, 177]","[8806, 998, 2, 194]","[8793, 998, 2, 207]"
noise0.6,"[8794, 962, 38, 206]","[8776, 955, 45, 224]","[8816, 967, 33, 184]","[8801, 951, 49, 199]","[8852, 965, 35, 148]","[8868, 976, 24, 132]","[8805, 959, 41, 195]","[8808, 964, 36, 192]","[8826, 961, 39, 174]","[8819, 966, 34, 181]"
