,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
noise0.1,"[8995, 1000, 0, 5]","[8989, 1000, 0, 11]","[8992, 1000, 0, 8]","[8995, 1000, 0, 5]","[8992, 1000, 0, 8]","[8996, 1000, 0, 4]","[8996, 1000, 0, 4]","[8999, 1000, 0, 1]","[8997, 1000, 0, 3]","[8995, 1000, 0, 5]"
noise0.2,"[8989, 1000, 0, 11]","[8992, 1000, 0, 8]","[8988, 1000, 0, 12]","[8993, 1000, 0, 7]","[8988, 1000, 0, 12]","[8993, 1000, 0, 7]","[8988, 1000, 0, 12]","[8993, 1000, 0, 7]","[8991, 1000, 0, 9]","[8991, 1000, 0, 9]"
noise0.3,"[8985, 1000, 0, 15]","[8986, 1000, 0, 14]","[8986, 1000, 0, 14]","[8990, 1000, 0, 10]","[8990, 1000, 0, 10]","[8985, 1000, 0, 15]","[8985, 1000, 0, 15]","[8982, 1000, 0, 18]","[8985, 1000, 0, 15]","[8986, 1000, 0, 14]"
noise0.4,"[8991, 1000, 0, 9]","[8991, 999, 1, 9]","[8984, 1000, 0, 16]","[8993, 999, 1, 7]","[8986, 999, 1, 14]","[8989, 1000, 0, 11]","[8979, 1000, 0, 21]","[8991, 996, 4, 9]","[8988, 1000, 0, 12]","[8986, 999, 1, 14]"
noise0.5,"[8987, 991, 9, 13]","[8985, 986, 14, 15]","[8984, 987, 13, 16]","[8986, 990, 10, 14]","[8986, 992, 8, 14]","[8984, 990, 10, 16]","[8989, 989, 11, 11]","[8990, 985, 15, 10]","[8986, 986, 14, 14]","[8979, 989, 11, 21]"
noise0.6,"[8978, 940, 60, 22]","[8972, 936, 64, 28]","[8976, 946, 54, 24]","[8987, 946, 54, 13]","[8984, 949, 51, 16]","[8983, 948, 52, 17]","[8983, 949, 51, 17]","[8987, 939, 61, 13]","[8978, 940, 60, 22]","[8983, 947, 53, 17]"
