,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,spatially_variable
gene_0,0.9875053561543135,4,5.9829737238226635,0.011636429215622733,-6.141000611902257,1.189435003568106,1.2054223706138405,SE,225,6.275610240702996e-07,0.0030652650309243783,0.0021469593048095703,33.9464028326222,-276.54039961013154,270.3993989982293,0.0,0.0,1
gene_1,0.6927299538447935,4,9.938466421540705,0.35550916409686506,-107.95072427979085,-22.060507978077517,15.466712618428208,SE,225,0.0007837482180468048,0.01898617348655193,0.0015766620635986328,237.56585016839938,-184.37143214064122,76.42070786085037,0.0,0.0,1
gene_2,0.9568600995423089,4,5.9829737238226635,0.04146350433230243,7.084985838649757,12.898814701876512,11.954122967943642,SE,225,1.062646508839191e-05,0.004929524552581513,0.0018777847290039062,7.494429931518166,-270.21554663355755,277.3005324722073,0.0,0.0,1
gene_3,0.975545713752788,4,5.9829737238226635,0.02305380827408487,-41.17358363272956,21.967249316261483,34.851142276493356,SE,225,6.873698844721242e-06,0.009204089578582136,0.002123594284057617,104.0115688742768,-334.01756239584006,292.8439787631105,0.0,0.0,1
gene_4,0.942411569268642,4,5.9829737238226635,0.05619917574662322,-70.04047932476965,-20.61917316212695,29.894464085707884,SE,225,2.1808374649151263e-05,0.006011689416492586,0.0018529891967773438,161.74536025835698,-228.64380859128084,158.6033292665112,0.0,0.0,1
gene_5,0.9800021985955841,4,5.9829737238226635,0.018766812362825045,-68.44171438388929,20.467086145313196,30.960618976239928,SE,225,5.765936109395277e-06,0.01133762089715657,0.0021712779998779297,158.54783037659627,-290.4128046716004,221.9710902877111,0.0,0.0,1
gene_6,0.9512835391286751,4,5.9829737238226635,0.04709784750483391,-20.940779526512415,-1.9915520427289257,0.7939963959336858,SE,225,1.1246321294698478e-05,0.004182839913476027,0.0018761157989501953,63.545960661842514,-262.7007598036754,241.75998027716298,0.0,0.0,1
gene_7,0.9463823898748266,4,9.938466421540705,0.04540831051693568,49.94507341005934,-2.7531771766547664,0.7233142716254385,SE,225,1.94327365313875e-05,0.006083601489882328,0.0021181106567382812,-78.22574521130099,-223.4702088917917,273.41528230185105,0.0,0.0,1
gene_8,0.9903207958667627,4,5.9829737238226635,0.008988745014543605,-51.738685045924285,2.978999618156092,2.5621347801750662,SE,225,8.038650165923023e-07,0.006467315902774517,0.002117156982421875,125.14177170066625,-272.0040287477175,220.2653437017932,0.0,0.0,1
gene_9,0.951280147653513,4,5.9829737238226635,0.04710129422111898,47.00946401297227,7.787501782893727,4.466836771739383,SE,225,1.3754144842620219e-05,0.005114930421156514,0.0019023418426513672,-72.35452641712686,-215.95223471983647,262.9616987328087,0.0,0.0,1
gene_10,0.6325056848252273,4,5.9829737238226635,0.5343446958684089,-121.85282441526928,24.78218112803607,38.43935420869661,SE,225,0.00041609771384912373,0.008747325032607398,0.0018515586853027344,265.37005043935625,-196.12665285163814,74.27382843636886,0.0,0.0,1
gene_11,0.7936555175881322,4,9.938466421540705,0.20837967780775948,-94.51965529972081,12.498902067163424,5.469507922466053,SE,225,0.000279418875731842,0.010466011301909663,0.0021224021911621094,210.7037122082593,-242.92510530770426,148.40545000798346,0.0,0.0,1
gene_12,0.9104250725930194,4,16.509033696538385,0.0576392918362748,55.875757528995194,-12.081958942360789,3.2783562450969868,SE,225,0.00028091077935626615,0.03624111665241497,0.0021889209747314453,-90.0871134491727,-177.9016845910901,233.77744212008528,0.0,0.0,1
gene_13,0.9707114169715324,4,5.9829737238226635,0.02774875703127163,108.37298908516985,0.2666235498167015,0.23833772720138305,SE,225,2.392600057238806e-06,0.0022776407388329133,0.0019421577453613281,-195.081576561522,-197.85555358403002,306.2285426691999,0.0,0.0,1
gene_14,0.9768264028790979,4,16.509033696538385,0.013898004359188068,-20.66983117004395,-9.80201001592105,5.224650055694939,SE,225,1.296754574266917e-05,0.01923575870120766,0.0029129981994628906,63.00406394890558,-341.02322244838604,320.3533912783421,0.0,0.0,1
gene_15,0.9853889789821696,4,5.9829737238226635,0.01363666511991306,-33.033822335822094,1.1687791886580852,1.372992444317388,SE,225,1.2212920171087883e-06,0.004400443647396261,0.002120494842529297,87.73204628046187,-303.96741948075794,270.93359714493585,0.0,0.0,1
gene_16,0.6863534910617787,4,5.9829737238226635,0.42026954672610056,-177.0659219829825,-5.399261656073949,2.2623913801194675,SE,225,0.00043689543522041404,0.010391552244380287,0.0015857219696044922,375.7962455747827,-254.456886013312,77.39096403032949,0.0,0.0,1
gene_17,0.9633451864860774,4,5.9829737238226635,0.0349932591697146,49.94419827293905,3.7491784952145344,1.3142634571849052,SE,225,6.190529275797224e-06,0.003875859905348914,0.0018510818481445312,-78.22399493706041,-210.1623151615196,260.10651343445863,0.0,0.0,1
gene_18,0.9688385436755356,4,9.938466421540705,0.025778692112624367,105.17566784158691,-3.7849145477588566,0.957320205759383,SE,225,5.890941305672741e-06,0.004991687487770421,0.002135038375854492,-188.68693407435615,-265.0157103649077,370.1913782064946,0.0,0.0,1
gene_19,0.5536358482619351,4,9.938466421540705,0.6461891279677024,-187.2776982687716,-18.21834076785759,10.305160023084003,SE,225,0.0013103975291866557,0.024996245079807175,0.0015764236450195312,396.21979814636086,-243.7726753987438,56.4949771299722,5.6288307348495437e-14,3.1981992811645133e-13,1
gene_20,0.90904451055486,4,5.9829737238226635,0.09201933221962548,-140.1320538904515,1.831311639482211,1.1725309388127862,SE,225,7.563119870666228e-05,0.009513652757144182,0.0018455982208251953,301.92850938972066,-275.85041212799456,135.71835823754307,0.0,0.0,1
gene_21,0.7623402623949019,4,9.938466421540705,0.24986262461626313,-68.33108507965886,-26.619194091743196,22.827838699027463,SE,225,0.0004975863181663545,0.015720615639840358,0.0019197463989257812,158.3265717681354,-216.13042331854945,147.79933823889058,0.0,0.0,1
gene_22,0.6202289897011726,4,3.6017603784793164,0.5947534999986003,-171.1862536466689,-6.444327143175501,5.891641533217507,SE,225,0.000305242436251922,0.006282626433173005,0.0018506050109863281,364.03690890215546,-211.79276205329973,40.60650840663084,1.8618551145266338e-10,1.01187777963404e-09,1
gene_23,0.9849577423879007,4,5.9829737238226635,0.014045290764964526,-60.61129659573578,4.528428453801837,3.0554918100853086,SE,225,1.5225756868299211e-06,0.005185131059906659,0.002390623092651367,142.88699480028924,-317.603244028163,256.9919474324272,0.0,0.0,1
gene_24,0.8704007603890138,4,5.9829737238226635,0.13693627264006322,-85.77828790971571,-0.07218012758692534,0.438514927578446,SE,225,5.938087350143108e-05,0.004257639164997742,0.0015857219696044922,193.2209774282491,-242.03443005472167,156.25614214500595,0.0,0.0,1
gene_25,0.7223820029015163,4,9.938466421540705,0.30801739289507185,-194.349450873597,-15.69546788363811,8.514903190543183,SE,225,0.00045343096134465167,0.012106757058394604,0.0018334388732910156,410.36330335601167,-324.23143870175295,129.88198782815596,0.0,0.0,1
gene_26,0.36249564412554036,4,2.168265886298247,1.7443020232110358,-216.84556007380147,-5.89076245160719,7.865292395779278,SE,225,0.005878905589615207,0.12474334461588192,0.00159454345703125,455.3555217564206,-220.6783641049377,3.8328040311362486,0.05025878632497616,0.23706974681592527,1
gene_27,0.6706133227921988,4,9.938466421540705,0.3936664407252255,-176.26779967064462,-1.8612097329762838,0.6415088399471353,SE,225,0.0007595151407035206,0.017327872892635945,0.0018429756164550781,374.2000009501069,-278.678437120404,102.41063744975938,0.0,0.0,1
gene_28,0.8157845006323934,4,9.938466421540705,0.18098611577458534,-71.268899248353,40.405760667009815,53.25089085928248,SE,225,0.0003842640079323501,0.016669864787356544,0.001565694808959961,164.20220010552367,-240.5925939529359,169.32369470458292,0.0,0.0,1
gene_29,0.9801366734278129,4,5.9829737238226635,0.018638057798859353,-39.40866871346694,-5.216043790836955,3.0334791742838263,SE,225,2.3997830720950925e-06,0.004780201118944348,0.002190828323364258,100.48173903575156,-229.02062525930393,189.611956545837,0.0,0.0,1
gene_30,0.22147975940321973,4,3.6017603784793164,3.414311360366039,-238.95447756182918,5.936294542622857,3.4923204833996686,SE,225,0.0013067492206023578,0.04486093993985166,0.002994537353515625,499.57335673247604,-245.3773145481174,6.4228369862882175,0.011266204253907008,0.05748063394850515,1
gene_31,0.9761213130297643,4,5.9829737238226635,0.022497898730502553,-53.60318676019787,-12.465112804675844,12.033380168645948,SE,225,2.5986096425633887e-06,0.0036408623199235923,0.0021936893463134766,128.87077512921343,-311.74374492323864,258.14055816304074,0.0,0.0,1
gene_32,0.35844936212888495,4,9.938466421540705,1.4344904814341217,-186.95846299292577,-9.782221249203483,2.8567792725567873,SE,225,0.0013468214981976368,0.02880271255251655,0.0015652179718017578,395.58132759466923,-226.17770436448512,39.21924137155935,3.787888891437774e-10,2.0148345167222203e-09,1
gene_33,0.25061712084314064,4,3.6017603784793164,2.904425815737991,-215.41312549120084,-8.040651667954842,6.637989455717401,SE,225,0.0011122350599911367,0.033097017940921444,0.002953052520751953,452.4906525912194,-223.74291583275087,8.329790341550023,0.0039000158596668166,0.020312582602431337,1
gene_34,0.9678075110116826,4,9.938466421540705,0.026659997793115356,5.678497105743304,-14.823225137908345,8.821774894519166,SE,225,1.0133519304693471e-05,0.008078968540352734,0.0018415451049804688,10.307407397331072,-260.60045865270115,266.27895575844445,0.0,0.0,1
gene_35,0.973842611345489,4,5.9829737238226635,0.024702500821512544,-15.74485591154172,-0.013338619541505805,0.7576152357514839,SE,225,2.9387317258230684e-06,0.0034631781044240813,0.002145528793334961,53.15411343190112,-259.4212933107979,243.6764373992562,0.0,0.0,1
gene_36,0.8367466360108589,4,9.938466421540705,0.15637333756250302,-51.063548591582816,-14.364578395565987,7.125381628193596,SE,225,0.00018697219641243827,0.009567647134261146,0.0021164417266845703,123.79149879198332,-206.74545925448672,155.6819106629039,0.0,0.0,1
gene_37,0.8024531941449775,4,9.938466421540705,0.19730806771475384,-67.1083794014554,15.430815494987868,8.041607040894622,SE,225,0.00035650213203756987,0.014113906785948324,0.002251148223876953,155.88116041172847,-206.69241658795588,139.5840371865005,0.0,0.0,1
gene_38,0.441083742194674,4,9.938466421540705,1.015594250749523,-188.44127636742206,1.3363031073285172,0.30480697808854906,SE,225,0.0016137507518397172,0.03089992631899325,0.0012938976287841797,398.5469543436618,-234.71772831016918,46.276451942747116,1.0269118888572848e-11,5.705066049207138e-11,1
gene_39,0.7337029366556651,4,5.9829737238226635,0.33379623244457984,-155.89858425905584,-7.161087942237849,3.701643202770911,SE,225,0.00015982223963763886,0.004454515840869306,0.0018467903137207031,333.46157012692936,-281.0553196139424,125.15673535488656,0.0,0.0,1
gene_40,0.9830220996618754,4,5.9829737238226635,0.015883858484118742,47.0541423908484,-0.6079211124553558,0.5969821223876651,SE,225,1.122717261520454e-06,0.003025212566858464,0.0018413066864013672,-72.44388317287911,-272.7685442505285,319.8226866413769,0.0,0.0,1
gene_41,0.9531175302487793,4,9.938466421540705,0.03942380756534606,-39.48996789310576,4.925210061446385,1.9925566230601979,SE,225,3.313412363123785e-05,0.013209995662475984,0.0015726089477539062,100.6443373950292,-238.13007195386172,198.64010406075596,0.0,0.0,1
gene_42,0.9739485302502551,4,9.938466421540705,0.02143832078388914,66.67146711366374,-10.093914378764321,4.364522342615314,SE,225,8.316011439181594e-06,0.009875694424951833,0.001847982406616211,-111.67853261850979,-193.809639171449,260.48110628511273,0.0,0.0,1
gene_43,0.6422011587486511,4,5.9829737238226635,0.5123929616791597,-111.20180633060468,-7.077293279231034,3.3259608736223045,SE,225,0.0003346395062318745,0.007165701065360166,0.0018382072448730469,244.06801427002705,-195.18759638594128,83.9857900553366,0.0,0.0,1
gene_44,0.8581105523755752,4,9.938466421540705,0.1325260936867594,-98.59872283376055,34.788283324331125,40.513223615342056,SE,225,0.0001748550167140467,0.01094837719782014,0.0021407604217529297,218.86184727633878,-322.9359918362319,224.33726900247134,0.0,0.0,1
gene_45,0.738279352815534,4,16.509033696538385,0.20767950675205452,-83.48234474811048,-24.829248194107258,11.462474496884129,SE,225,0.001375709940823571,0.039053804633955316,0.0018711090087890625,188.62909110503864,-153.81923618663635,70.33689143852587,0.0,0.0,1
gene_46,0.8245572624725311,4,5.9829737238226635,0.19568155223710645,-112.23736673970271,5.732409058771863,2.5856728098551462,SE,225,0.00013351321634478002,0.006185137427801481,0.0018682479858398438,246.1391350882231,-258.7282759684654,146.49090922876272,0.0,0.0,1
gene_47,0.8629644075088905,4,5.9829737238226635,0.14604133983868406,-118.43258194368173,-0.23715029875742222,0.5624781531294005,SE,225,8.146894644060358e-05,0.005371266271875431,0.0019996166229248047,258.52956549618114,-271.0450524617331,152.6124705180514,0.0,0.0,1
